站號,站名,地址,站別,區域,資料起始日期,撤站日期,城市,經度,緯度,海拔高度(m),備註,原站號,新站號,運作狀態
C0G810,埔心,埔心鄉舊館村員鹿路四段201號(舊館國小),自動站,中部,2011/4/27,,彰化縣,120.525456,23.947633,26,,,,運行中
C0G820,田尾,田尾鄉中正路二段101號(仁豐國小),自動站,中部,2011/5/5,,彰化縣,120.509389,23.901669,29,,,,運行中
C0G830,埤頭,埤頭鄉大湖村大湖路260號(大湖國小),自動站,中部,2011/5/25,,彰化縣,120.452806,23.866003,27,,,,運行中
C0G840,北斗,北斗鎮斗苑路二段150號(螺陽國小),自動站,中部,2011/4/1,2024/1/8,彰化縣,120.514222,23.877586,32,原（C0G840）氣象站於2024/01/08改為農業站（C2G840）。,,C2G840,已撤站
C0G850,田中,田中鎮中州路一段177號(田中國小),自動站,中部,2011/8/1,2019/10/29,彰化縣,120.588261,23.856778,62,,,,已撤站
C0G860,社頭,社頭鄉社斗路一段258號(社頭國小),自動站,中部,2011/5/25,,彰化縣,120.5862,23.897647,45,,,,運行中
C0G870,芳苑,芳苑鄉仁愛村斗苑路芳苑段211號(芳苑國中),自動站,中部,2011/7/19,2024/1/8,彰化縣,120.320025,23.922303,12,原（C0G870）氣象站於2024/01/08改為農業站（C2G870）。,,C2G870,已撤站
C0G880,二水,二水鄉文化村119號(二水國小),自動站,中部,2011/7/28,,彰化縣,120.6173,23.810742,92,,,,運行中
C0G890,伸港,伸港鄉新港村和平路60號(新港國小),自動站,中部,2011/2/18,,彰化縣,120.484403,24.148933,24,於2024/01/08完成儀器汰換,,,運行中
C0G900,線西,線西鄉慶福路300號（彰濱工業區線西服務大樓內),自動站,中部,2019/11/22,,彰化縣,120.443536,24.143358,20,於2024/01/08完成儀器汰換,,,運行中
C0G910,花壇,花壇鄉彰員路2段580號（花壇國中內）,自動站,中部,2019/12/20,,彰化縣,120.549461,24.032076,42,,,,運行中
C0G920,永靖,永靖鄉瑚璉路230號（永靖鄉公所樓頂）,自動站,中部,2022/1/4,,彰化縣,120.547533,23.924703,42,,,,運行中
C0G940,竹塘,竹塘鄉東陽路二段123號（長安國小校園內）,自動站,中部,2022/1/22,,彰化縣,120.386764,23.848253,21,,,,運行中
C0G950,防潮門,伸港鄉全興村西全路167巷111之1號,自動站,中部,2022/12/26,,彰化縣,120.4871,24.1835,23,,,,運行中
C0G960,福寶,福興鄉,自動站,中部,2022/12/26,,彰化縣,120.3814,24.0443,5,,,,運行中
C0G970,三豐,大城鄉三豐村和平路30之1號,自動站,中部,2022/12/26,,彰化縣,120.2895,23.882,19,,,,運行中
C0G9B0,和美,和美鎮鹿和路六段115號,自動站,中部,2025/2/5,,彰化縣,120.492131,24.105169,26,,,,運行中
C0H890,埔里,埔里鎮大城里大城路169號(南投縣立大成國民中學內),自動站,中部,2015/9/4,,南投縣,120.952425,23.972169,440,原⼤肚城(C1H890)站因擴充為氣象站，於2015/9/4升級為(C0H890)站，站名更變為埔⾥。,C1H890,,運行中
C0H950,中寮,中寮鄉復興村初中巷50號(中寮國中校園內),自動站,中部,2011/11/1,2024/1/8,南投縣,120.766406,23.884447,192,原(C1H950)站因擴充為氣象站，於2011/11/1升級為(C0H950)站。原（C0H950）氣象站於2024/01/08改為農業站（C2H950）。,C1H950,C2H950,已撤站
C0H960,草屯,草屯鎮中山里草鞋墩1街8號(草屯鎮公所樓頂),自動站,中部,2011/11/1,,南投縣,120.68085,23.973672,120,原(C1H960)站因擴充為氣象站，於2011/11/1升級為(C0H960)站。,C1H960,,運行中
C0H980,中興新村,南投市中興新村,自動站,中部,1992/1/23,1996/1/10,南投縣,120.995089,23.936278,83,,,,已撤站
C0H990,昆陽,仁愛鄉昆陽警察局後方下坡處(太魯閣國家公園)石碑後20公尺,自動站,中部,1992/5/23,,南投縣,121.273642,24.121322,3076,本站於2015/8/24起進⾏儀器汰換，並於2015/12/31完成驗收。,,,運行中
C0H9A0,神木村,信義鄉神木村神木工作分站後方山坡上(對高岳營林區29林班地444號土地),自動站,中部,1998/12/16,,南投縣,120.843667,23.532742,1595,本站於2015/9/21起進⾏儀器汰換，並於2015/12/31完成驗收。,,,運行中
